"Index","Open","High","Low","Close","Volume","Adjusted"
2009-09-24,106.900002,106.900002,106.089996,106.089996,2,106.089996
2009-09-25,106.139999,106.139999,105.900002,105.900002,10,105.900002
2009-09-28,106.589996,108.209999,106.589996,108.209999,75,108.209999
2009-09-29,108.480003,108.480003,108.169998,108.169998,2,108.169998
2009-09-30,108.529999,108.75,107.290001,107.290001,20,107.290001
2009-10-01,107.620003,107.620003,105.370003,105.370003,2,105.370003
2009-10-02,104.519997,104.519997,103.470001,103.470001,2,103.470001
2009-10-05,103.510002,104.309998,103.510002,104.309998,2,104.309998
2009-10-06,104.989998,107.010002,104.900002,107.010002,15,107.010002
2009-10-07,106.809998,107.029999,106.809998,107.029999,2,107.029999
2009-10-08,108.470001,108.470001,108.400002,108.400002,2,108.400002
2009-10-09,108.220001,108.470001,108.220001,108.279999,40,108.279999
2009-10-12,108.949997,109.489998,108.949997,109.489998,2,109.489998
2009-10-13,109.25,109.25,108.489998,108.489998,2,108.489998
2009-10-14,109.720001,110.660004,109.720001,110.660004,2,110.660004
2009-10-15,111,111,110.589996,110.589996,2,110.589996
2009-10-16,108.989998,108.989998,108.989998,108.989998,1,108.989998
2009-10-19,109.739998,110.760002,109.739998,110.760002,2,110.760002
2009-10-20,111.120003,111.129997,109.82,109.82,135,109.82
2009-10-21,110.620003,110.620003,110.449997,110.449997,2,110.449997
2009-10-22,108.57,109.150002,108.57,109.150002,2,109.150002
2009-10-23,110.089996,110.089996,108.889999,108.889999,2,108.889999
2009-10-26,109.459999,109.459999,106.779999,106.779999,2,106.779999
2009-10-27,106.75,106.75,106.449997,106.449997,2,106.449997
2009-10-28,106,106,103.739998,103.739998,2,103.739998
2009-10-29,103.230003,105.5,103.230003,105.5,2,105.5
2009-10-30,105.459999,105.550003,102.290001,102.290001,15,102.290001
2009-11-02,102.459999,102.459999,102.330002,102.330002,2,102.330002
2009-11-03,101.580002,101.580002,101.129997,101.129997,2,101.129997
